Addresse,code_postale,departement,Latitude,Longitude,Distance,DurationPoliceMin,MinDistGar,MoyDistGar,train,rer,metro,tramway,Population2017,Densite,Superficie2017,NomMenage,NombreTotalLogement,TauxActive15_64,TauxChomage15_64
Montesson 78360 (La Borde),78360,78,48.9281527,2.137977,1.983782204231262,0.14444444444444443,1.759616703184139,26.206055137421984,1,1,0,0,15019.0,2040.6,7.4,5812.0,6163.0,76.4,8.6
Montesson 78360 (Les Rabaux),78360,78,48.9074603,2.1196619,2.1002083146953536,0.16694444444444445,1.0702618894906681,26.41471123196232,0,1,0,0,15019.0,2040.6,7.4,5812.0,6163.0,76.4,8.6
Montfermeil 93370,93370,93,48.8992679,2.5660399,1.4264236865955637,0.11194444444444444,0.350623124801343,26.885011098366466,0,0,0,1,26783.0,4914.3,5.5,9034.0,9462.0,68.9,13.6
Montfermeil 93370 (Centre-ville),93370,93,48.898794,2.563094,1.2642205994555593,0.10277777777777777,0.1400116579014241,26.72122947682512,0,0,0,1,26783.0,4914.3,5.5,9034.0,9462.0,68.9,13.6
Montfermeil 93370 (Coudreaux),93370,93,48.8979277,2.5828909,2.632816919477949,0.16416666666666666,1.5526935363883256,27.74489988840561,0,0,0,1,26783.0,4914.3,5.5,9034.0,9462.0,68.9,13.6
Montfermeil 93370 (Franceville),93370,93,48.9014318,2.5556833,0.6503217682895518,0.10833333333333334,0.06358661189941868,26.400497885221586,0,0,0,1,26783.0,4914.3,5.5,9034.0,9462.0,68.9,13.6
Montfermeil 93370 (Les Oiseaux),93370,93,48.8948158,2.5724786,2.08227474894139,0.15083333333333335,0.8616270357777686,27.129204642969412,0,0,0,1,26783.0,4914.3,5.5,9034.0,9462.0,68.9,13.6
Montfort-l'Amaury 78490,78490,78,48.779142,1.8070765,10.524148824897518,0.3186111111111111,2.6985809291986653,45.01207783869713,1,0,0,0,1023.7,167.53,7.8,402.9,471.9,74.7,6.859999999999999
Montgeron 91230,91230,91,48.7038873,2.4605107000000004,0.31251557478868014,0.014166666666666666,0.5010590065205508,27.865971810656458,0,1,0,0,23775.0,2119.0,11.2,9374.0,10178.0,75.0,11.5
Montgeron 91230 (Centre-ville - Gare),91230,91,48.7054,2.4504,1.055910625517517,0.09333333333333334,0.929733193552883,27.511965084647123,0,1,0,0,23775.0,2119.0,11.2,9374.0,10178.0,75.0,11.5
Montgeron 91230 (G. Mangin - L'Oly - Jules Ferry),91230,91,48.7054,2.4504,1.055910625517517,0.09333333333333334,0.929733193552883,27.511965084647123,0,1,0,0,23775.0,2119.0,11.2,9374.0,10178.0,75.0,11.5
Montgeron 91230 (La Forêt),91230,91,48.6951564,2.4597017000000005,0.8422985553472361,0.08777777777777777,1.4670555776106553,28.45000785396425,0,1,0,0,23775.0,2119.0,11.2,9374.0,10178.0,75.0,11.5
Montgeron 91230 (Saint-Hubert - Plateau - Chalandray),91230,91,48.7054,2.4504,1.055910625517517,0.09333333333333334,0.929733193552883,27.511965084647123,0,1,0,0,23775.0,2119.0,11.2,9374.0,10178.0,75.0,11.5
Montgé-en-Goële 77230,77230,77,49.0284104,2.7482798,13.28565519806277,0.3927777777777778,3.6004562480167652,41.97091331182349,1,0,0,0,2079.6153846153848,272.3769230769231,7.892307692307693,773.1538461538462,836.9230769230769,79.99230769230768,9.299999999999999
Monthyon 77122,77122,77,49.0073614,2.8267759,7.502833721771967,0.26555555555555554,6.534868232154018,45.33659829023473,1,0,0,0,1707.0,141.0,12.1,613.0,658.0,78.9,9.6
Montigny-Lencoup 77520,77520,77,48.4541416,3.0602601000000003,10.052823020502322,0.2375,12.03311006238427,71.01618167486787,1,0,0,0,613.5,60.83333333333334,8.766666666666666,244.08333333333334,289.0833333333333,77.59166666666667,9.875
Montigny-le-Bretonneux 78180,78180,78,48.7698937,2.0381228,2.0647539447559575,0.1461111111111111,2.003484328717693,31.676661107495878,1,1,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
Montigny-le-Bretonneux 78180 (La Sourderie Nord),78180,78,48.7664,2.0341,2.5481798512702727,0.12833333333333333,2.2291882064303774,32.01231592422203,1,0,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
Montigny-le-Bretonneux 78180 (La Sourderie Sud),78180,78,48.7664,2.0341,2.5481798512702727,0.12833333333333333,2.2291882064303774,32.01231592422203,1,0,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
Montigny-le-Bretonneux 78180 (Le Manet),78180,78,48.7692454,2.0244853,2.7383142057406644,0.1338888888888889,1.4548832801822755,32.42502702771624,1,0,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
Montigny-le-Bretonneux 78180 (Le Plan de Troux),78180,78,48.7664,2.0341,2.5481798512702727,0.12833333333333333,2.2291882064303774,32.01231592422203,1,0,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
Montigny-le-Bretonneux 78180 (Le Village),78180,78,48.7698937,2.0381228,2.0647539447559575,0.1461111111111111,2.003484328717693,31.676661107495878,1,1,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
Montigny-le-Bretonneux 78180 (Plan de l'Eglise),78180,78,48.7664,2.0341,2.5481798512702727,0.12833333333333333,2.2291882064303774,32.01231592422203,1,0,0,0,32929.0,2826.5,11.7,14213.0,15043.0,77.0,7.8
